1,Custom Smoothie,400,500,600,0,1,1
2,Custom Fruit Salad,400,0,500,0,1,0
3,Peanut Butter & Banana Smoothie,400,500,600,0,0,1
4,Taro Smoothie,450,550,650,0,0,1
5,Lemonade,0,0,0,200,0,0
6,Water,0,0,0,100,0,0
